Name,Age,Gender,Offense_Type,Previous_Convictions,Community_Ties,Flight_Risk,Bail_Amount_Suggested,Employment_Status,Family_Dependants,Criminal_History_Severity,Bail_Granted,Release_Section,Reason_for_Bail_Denial,Penal_Provisions,Duration_of_Imprisonment_Served,Risk_of_Tampering_with_Evidence_or_Witnesses,Socio-economic_Background,Health_and_Personal_Circumstances,Compliance_with_Procedural_Aspects,Judicial_Pronouncements
rishi kalyan,32,male,violent,1,strong,0,10000,employed,2,medium,1,Section 437,NON,Section 437,6 months,low,employed,good,compliant,Section 437
Jane Smith,45,female,economic,3,weak,1,5000,unemployed,0,high,0,Section 438,High flight risk and weak community ties,Section 438,2 years,high,unemployed,poor,non-compliant,Section 438
hemcharan,28,male,cybercrime,0,strong,0,7000,employed,1,low,1,Section 437,NON,Section 437,3 months,low,employed,good,compliant,Section 437
Mary Lee,38,female,drug-related,2,strong,1,12000,unemployed,3,high,0,Section 438,High risk of repeat offense and weak community ties,Section 438,1 year,high,unemployed,poor,non-compliant,Section 438
Michael Brown,50,male,violent,5,weak,1,15000,unemployed,4,high,0,Section 438,High flight risk and extensive criminal history,Section 438,5 years,high,unemployed,poor,non-compliant,Section 438
Lisa White,27,female,economic,0,strong,0,8000,employed,0,low,1,Section 437,NON,Section 437,1 month,low,employed,good,compliant,Section 437
Kevin Davis,31,male,cybercrime,2,weak,1,9000,unemployed,1,medium,0,Section 438,High risk of evidence tampering and weak community ties,Section 438,1 year,medium,unemployed,poor,non-compliant,Section 438
Anna Harris,22,female,drug-related,1,strong,0,6000,employed,1,medium,1,Section 437,NON,Section 437,2 months,low,employed,good,compliant,Section 437
Robert Wilson,40,male,economic,4,weak,1,11000,unemployed,3,high,0,Section 438,High flight risk and weak community ties,Section 438,2 years,high,unemployed,poor,non-compliant,Section 438
Emily Clark,35,female,violent,2,strong,0,13000,employed,2,medium,1,Section 437,NON,Section 437,8 months,low,employed,good,compliant,Section 437
Charles King,29,male,cybercrime,1,weak,1,9500,unemployed,2,medium,0,Section 438,High risk of repeat offense and weak community ties,Section 438,1 year,medium,unemployed,poor,non-compliant,Section 438
Jessica Young,33,female,drug-related,3,strong,1,10000,employed,2,high,0,Section 438,High flight risk and extensive criminal history,Section 438,2 years,high,employed,good,compliant,Section 438
Brian Scott,44,male,violent,0,strong,0,12000,employed,3,low,1,Section 437,NON,Section 437,1 month,low,employed,good,compliant,Section 437
Sophia Mitchell,26,female,economic,1,strong,0,7500,employed,0,low,1,Section 437,NON,Section 437,3 months,low,employed,good,compliant,Section 437
James Walker,37,male,drug-related,2,weak,1,11000,unemployed,4,medium,0,Section 438,High risk of repeat offense and weak community ties,Section 438,1 year,medium,unemployed,poor,non-compliant,Section 438
Laura Martinez,30,female,violent,3,strong,1,10000,employed,1,high,0,Section 438,High flight risk and extensive criminal history,Section 438,2 years,high,employed,good,compliant,Section 438
Henry Allen,48,male,cybercrime,1,weak,0,7000,unemployed,1,medium,1,Section 437,NON,Section 437,4 months,medium,unemployed,poor,compliant,Section 437
Olivia Lewis,28,female,drug-related,0,strong,0,6000,employed,2,low,1,Section 437,NON,Section 437,1 month,low,employed,good,compliant,Section 437
George Baker,42,male,economic,2,weak,1,9000,unemployed,3,medium,0,Section 438,High flight risk and weak community ties,Section 438,1 year,medium,unemployed,poor,non-compliant,Section 438
Chloe Phillips,24,female,violent,1,strong,0,8000,employed,0,medium,1,Section 437,NON,Section 437,2 months,medium,employed,good,compliant,Section 437
